absorbabilité | absorbability
immensité | immensity
immiscibilité | immiscibility
immobilité | immobility
immoralité | immorality
immortalité | immortality
immotilité | immotility
l&#39;immobabilité | immovability
immunité | immunity
immutabilité | immutability
impalpabilité | impalpability
imparité | imparity
impartialité | impartiality
impraticabilité | impassability
impassibilité | impassibility
impassibilité | impassivity
impeccabilité | impeccability
impécuniosité | impecuniosity
impénétrabilité | impenetrability
imperceptibilité | imperceptibility
imperméabilité | impermeability
impersonnalité | impersonality
imperturbabilité | imperturbability
impétuosité | impetuosity
impiété | impiety
implacabilité | implacability
impondérabilité | imponderability
importunité | importunity
impossibilité | impossibility
impraticabilité | impracticability
impressionnabilité | impressibility
improbabilité | improbability
impunité | impunity
impureté | impurity
incapacité | inability
inaccessibilité | inaccessibility
inactivité | inactivity
inadmissibilité | inadmissability
inadmissibilité | inadmissibility
Invisibilité | inadvisability
inaliénabilité | inalienability
inaltérabilité | inalterability
inapplicabilité | inapplicability
inaudibilité | inaudibility
incapacité | incapability
incapacité | incapacity
incivilité | incivility
incomparabilité | incomparability
incompatibilité | incompatibility
incompressibilité | incompressibility
inconcevabilité | inconceivability
incongruité | incongruity
incontestabilité | incontestability
inconvertibilité | inconvertibility
incorporalité | incorporeality
incorruptibilité | incorruptibility
incrédibilité | incredibility
incrédulité | incredulity
incurabilité | incurability
indefensibilité | indefensibility
indemnité | indemnity
indescriptibilité | indescribability
indestructibilité | indestructibility
indignité | indignity
indispensabilité | indispensability
indissolubilité | indissolubility
individualité | individuality
indivisibilité | indivisibility
inéducabilité | ineducability
inélasticité | inelasticity
inéligibilité | ineligibility
inégalité | inequality
iniquité | inequity
inévitabilité | inevitability
inexprimabilité | inexpressibility
inextricabilité | inextricability
infaillibilité | infallibility
l&#39;infantilité | infantility
infélicité | infelicity
infériorité | inferiority
infertilité | infertility
infidélité | infidelity
infirmité | infirmity
inflammabilité | inflammability
rigidité | inflexibility
influenabilité | influenceability
informalité | informality
infusibilité | infusibility
ingéniosité | ingenuity
habitabilité | inhabitability
héritabilité | inheritability
inhospitalité | inhospitality
inhumanité | inhumanity
iniquité | iniquity
insalubrité | insalubrity
insatiabilité | insatiability
impénétrabilité | inscrutability
insécurité | insecurity
insensibilité | insensibility
insensibilité | insensitivity
inséparabilité | inseparability
manque de sincérité | insincerity
insipidité | insipidity
insolubilité | insolubility
instabilité | instability
l&#39;instrumentalité | instrumentality
insularité | insularity
l&#39;assurabilité | insurability
insusceptibilité | insusceptibility
intangibilité | intangibility
intégrité | integrity
intelligibilité | intelligibility
intensité | intensity
l&#39;internalité | internality
intersexualité | intersexuality
interuniversité | interuniversity
université | intervarsity
intractivité | intracity
intrépidité | intrepidity
invalidité | invalidity
invariabilité | invariability
invincibilité | invincibility
inviolabilité | inviolability
invisibilité | invisibility
invulnérabilité | invulnerability
ionicité | ionicity
irascibilité | irascibility
irrationalité | irrationality
irréductibilité | irreducibility
irréfutabilité | irrefutability
irrégularité | irregularity
irresponsabilité | irresponsibility
irréversibilité | irreversibility
irrévocabilité | irrevocability
irritabilité | irritability
jovialité | jocularity
jovialité | joviality
juvénilité | juvenility
louabilité | laudability
laxité | laxity
légalité | legality
lisibilité | legibility
lénité | lenity
létalité | lethality
légèreté | levity
responsabilité | liability
libéralité | liberality
liberté | liberty
limpidité | limpidity
liquidité | liquidity
habitabilité | livability
habitabilité | liveability
lividité | lividity
localité | locality
longévité | longevity
loquacité | loquacity
fidélité | loyalty
lubricité | lubricity
lucidité | lucidity
luminosité | luminosity
usinabilité | machinability
magnanimité | magnanimity
maintenabilité | maintainability
majesté | majesty
majorité | majority
malignité | malignity
malléabilité | malleability
gérabilité | manageability
maniabilité | maneuverability
manipulabilité | manipulability
marginalité | marginality
commercialité | marketability
masculinité | masculinity
matérialité | materiality
maternité | maternity
maturité | maturity
mesurabilité | measurability
médiocrité | mediocrity
fausseté | mendacity
mentalité | mentality
métabolisabilité | metabolizability
méticosité | meticulosity
minidité | minacity
minorité | minority
miscibilité | miscibility
mobilité | mobility
modalité | modality
la modernité | modernity
modularité | modularity
monosexualité | monosexuality
monstruosité | monstrosity
moralité | morality
morbidité | morbidity
moribondité | moribundity
mortalité | mortality
motilité | motility
mobilité | movability
mobilité | moveability
la mucosité | mucosity
multicellularité | multicellularity
multiplicité | multiplicity
multiversité | multiversity
municipalité | municipality
mutabilité | mutability
mutagénicité | mutagenicity
mutualité | mutuality
la naïveté | naivety
nasalité | nasality
natalité | natality
nationalité | nationality
Nativité | nativity
navigabilité | navigability
nébulosité | nebulosity
nécessité | necessity
négativité | negativity
négociabilité | negotiability
nervosité | nervosity
neurotoxicité | neurotoxicity
neutralité | neutrality
subtilité | nicety
nihilité | nihility
non-conformité | nonconformity
nullité | nonentity
non-identité | nonidentity
non-immunité | nonimmunity
non-susceptibilité | nonsusceptibility
normalité | normality
notabilité | notability
notoriété | notoriety
nouveauté | novelty
nubilité | nubility
nudité | nudity
nullité | nullity
obésité | obesity
l&#39;objectivité | objectionability
objectivité | objectivity
obliquité | obliquity
obnoxité | obnoxiety
obscénité | obscenity
obscurité | obscurity
singularité | oddity
officialité | officiality
opacité | opacity
opérabilité | operability
opportunité | opportunity
opposabilité | opposability
oralité | orality
originalité | originality
orotondité | orotundity
ostensibilité | ostensibility
l&#39;ovalité | ovality
surcapacité | overcapacity
surdiversité | overdiversity
excès de familiarité | overfamiliarity
hypersensibilité | oversensitivity
oviparité | oviparity
palatabilité | palatability
palpabilité | palpability
paranormalité | paranormality
parité | parity
partialité | partiality
particularité | particularity
passivité | passivity
brevetabilité | patentability
paternité | paternity
pathogénicité | pathogenicity
petit pâté | patty
la payabilité | payability
particularité | peculiarity
perceptibilité | perceptibility
perceptivité | perceptivity
perfectibilité | perfectibility
périodicité | periodicity
